1E6C; C; 1E6D
1E6E; C; 1E6F
1E70; C; 1E71
1E72; C; 1E73
1E74; C; 1E75
1E76; C; 1E77
1E78; C; 1E79
1E7A; C; 1E7B
1E7C; C; 1E7D
1E7E; C; 1E7F
1E80; C; 1E81
1E82; C; 1E83
1E84; C; 1E85
1E86; C; 1E87
1E88; C; 1E89
1E8A; C; 1E8B
1E8C; C; 1E8D
1E8E; C; 1E8F
1E90; C; 1E91
1E92; C; 1E93
1E94; C; 1E95
1E96; F; 0068 0331
1E97; F; 0074 0308
1E98; F; 0077 030A
1E99; F; 0079 030A
1E9A; F; 0061 02BE
1E9B; C; 1E61
1E9E; F; 0073 0073
1E9E; S; 00DF
1EA0; C; 1EA1
1EA2; C; 1EA3
1EA4; C; 1EA5
1EA6; C; 1EA7
1EA8; C; 1EA9
1EAA; C; 1EAB
1EAC; C; 1EAD
1EAE; C; 1EAF
1EB0; C; 1EB1
1EB2; C; 1EB3
1EB4; C; 1EB5
1EB6; C; 1EB7
1EB8; C; 1EB9
1EBA; C; 1EBB
1EBC; C; 1EBD
1EBE; C; 1EBF
1EC0; C; 1EC1
1EC2; C; 1EC3
1EC4; C; 1EC5
1EC6; C; 1EC7
1EC8; C; 1EC9
1ECA; C; 1ECB
1ECC; C; 1ECD
1ECE; C; 1ECF
1ED0; C; 1ED1
1ED2; C; 1ED3
1ED4; C; 1ED5
1ED6; C; 1ED7
1ED8; C; 1ED9
1EDA; C; 1EDB
1EDC; C; 1EDD
1EDE; C; 1EDF
1EE0; C; 1EE1
1EE2; C; 1EE3
1EE4; C; 1EE5
1EE6; C; 1EE7
1EE8; C; 1EE9
1EEA; C; 1EEB
1EEC; C; 1EED
1EEE; C; 1EEF
1EF0; C; 1EF1
1EF2; C; 1EF3
1EF4; C; 1EF5
1EF6; C; 1EF7
1EF8; C; 1EF9
1EFA; C; 1EFB
1EFC; C; 1EFD
1EFE; C; 1EFF
1F08; C; 1F00
1F09; C; 1F01
1F0A; C; 1F02
1F0B; C; 1F03
1F0C; C; 1F04
1F0D; C; 1F05
1F0E; C; 1F06
1F0F; C; 1F07
1F18; C; 1F10
1F19; C; 1F11
1F1A; C; 1F12
1F1B; C; 1F13
1F1C; C; 1F14
1F1D; C; 1F15
1F28; C; 1F20
1F29; C; 1F21
1F2A; C; 1F22
1F2B; C; 1F23
1F2C; C; 1F24
1F2D; C; 1F25
1F2E; C; 1F26
1F2F; C; 1F27
1F38; C; 1F30
1F39; C; 1F31
1F3A; C; 1F32
1F3B; C; 1F33
1F3C; C; 1F34
1F3D; C; 1F35
1F3E; C; 1F36
1F3F; C; 1F37
1F48; C; 1F40
1F49; C; 1F41
1F4A; C; 1F42
1F4B; C; 1F43
1F4C; C; 1F44
1F4D; C; 1F45
1F50; F; 03C5 0313
1F52; F; 03C5 0313 0300
1F54; F; 03C5 0313 0301
1F56; F; 03C5 0313 0342
1F59; C; 1F51
1F5B; C; 1F53
1F5D; C; 1F55
1F5F; C; 1F57
1F68; C; 1F60
1F69; C; 1F61
1F6A; C; 1F62
1F6B; C; 1F63
1F6C; C; 1F64
1F6D; C; 1F65
1F6E; C; 1F66
1F6F; C; 1F67
1F80; F; 1F00 03B9
1F81; F; 1F01 03B9
1F82; F; 1F02 03B9
1F83; F; 1F03 03B9
1F84; F; 1F04 03B9
1F85; F; 1F05 03B9
1F86; F; 1F06 03B9
1F87; F; 1F07 03B9
1F88; F; 1F00 03B9
1F88; S; 1F80
1F89; F; 1F01 03B9
1F89; S; 1F81
1F8A; F; 1F02 03B9
1F8A; S; 1F82
1F8B; F; 1F03 03B9
1F8B; S; 1F83
1F8C; F; 1F04 03B9
1F8C; S; 1F84
1F8D; F; 1F05 03B9
1F8D; S; 1F85
1F8E; F; 1F06 03B9
1F8E; S; 1F86
1F8F; F; 1F07 03B9
1F8F; S; 1F87
1F90; F; 1F20 03B9
1F91; F; 1F21 03B9
1F92; F; 1F22 03B9
1F93; F; 1F23 03B9
1F94; F; 1F24 03B9
1F95; F; 1F25 03B9
1F96; F; 1F26 03B9
1F97; F; 1F27 03B9
1F98; F; 1F20 03B9
1F98; S; 1F90
1F99; F; 1F21 03B9
1F99; S; 1F91
1F9A; F; 1F22 03B9
1F9A; S; 1F92
1F9B; F; 1F23 03B9
1F9B; S; 1F93
1F9C; F; 1F24 03B9
1F9C; S; 1F94
1F9D; F; 1F25 03B9
1F9D; S; 1F95
1F9E; F; 1F26 03B9
1F9E; S; 1F96
1F9F; F; 1F27 03B9
1F9F; S; 1F97
1FA0; F; 1F60 03B9
1FA1; F; 1F61 03B9
1FA2; F; 1F62 03B9
1FA3; F; 1F63 03B9
1FA4; F; 1F64 03B9
1FA5; F; 1F65 03B9
1FA6; F; 1F66 03B9
1FA7; F; 1F67 03B9
1FA8; F; 1F60 03B9
1FA8; S; 1FA0
1FA9; F; 1F61 03B9
1FA9; S; 1FA1
1FAA; F; 1F62 03B9
1FAA; S; 1FA2
1FAB; F; 1F63 03B9
1FAB; S; 1FA3
1FAC; F; 1F64 03B9
1FAC; S; 1FA4
1FAD; F; 1F65 03B9
1FAD; S; 1FA5
1FAE; F; 1F66 03B9
1FAE; S; 1FA6
1FAF; F; 1F67 03B9
1FAF; S; 1FA7
1FB2; F; 1F70 03B9
1FB3; F; 03B1 03B9
1FB4; F; 03AC 03B9
1FB6; F; 03B1 0342
1FB7; F; 03B1 0342 03B9
1FB8; C; 1FB0
1FB9; C; 1FB1
1FBA; C; 1F70
1FBB; C; 1F71
1FBC; F; 03B1 03B9
1FBC; S; 1FB3
1FBE; C; 03B9
1FC2; F; 1F74 03B9
1FC3; F; 03B7 03B9
1FC4; F; 03AE 03B9
1FC6; F; 03B7 0342
1FC7; F; 03B7 0342 03B9
1FC8; C; 1F72
1FC9; C; 1F73
1FCA; C; 1F74
1FCB; C; 1F75
1FCC; F; 03B7 03B9
1FCC; S; 1FC3
1FD2; F; 03B9 0308 0300
1FD3; F; 03B9 0308 0301
1FD6; F; 03B9 0342
1FD7; F; 03B9 0308 0342
1FD8; C; 1FD0
1FD9; C; 1FD1
1FDA; C; 1F76
1FDB; C; 1F77
1FE2; F; 03C5 0308 0300
1FE3; F; 03C5 0308 0301
1FE4; F; 03C1 0313
1FE6; F; 03C5 0342
1FE7; F; 03C5 0308 0342
1FE8; C; 1FE0
1FE9; C; 1FE1
1FEA; C; 1F7A
1FEB; C; 1F7B
1FEC; C; 1FE5
1FF2; F; 1F7C 03B9
1FF3; F; 03C9 03B9
1FF4; F; 03CE 03B9
1FF6; F; 03C9 0342
1FF7; F; 03C9 0342 03B9
1FF8; C; 1F78
1FF9; C; 1F79
1FFA; C; 1F7C
1FFB; C; 1F7D
1FFC; F; 03C9 03B9
1FFC; S; 1FF3
2126; C; 03C9
212A; C; 006B
212B; C; 00E5
2132; C; 214E
2160; C; 2170
2161; C; 2171
2162; C; 2172
2163; C; 2173
2164; C; 2174
2165; C; 2175
2166; C; 2176
2167; C; 2177
2168; C; 2178
2169; C; 2179
