0045 0302 0303;	0045 	
0045 0302 0309;	0045 	
0045 0304 0300;	0045 	
0045 0304 0301;	0045 	
0045 0323 0302;	0045 	
0045 0327 0306;	0045 	
0049 0308 0301;	0049 	
004C 0323 0304;	004C 	
004F 0302 0300;	004F 	
004F 0302 0301;	004F 	
004F 0302 0303;	004F 	
004F 0302 0309;	004F 	
004F 0303 0301;	004F 	
004F 0303 0304;	004F 	
004F 0303 0308;	004F 	
004F 0304 0300;	004F 	
004F 0304 0301;	004F 	
004F 0307 0304;	004F 	
004F 0308 0304;	004F 	
004F 031B 0300;	004F 	
004F 031B 0301;	004F 	
004F 031B 0303;	004F 	
004F 031B 0309;	004F 	
004F 031B 0323;	004F 	
004F 0323 0302;	004F 	
004F 0328 0304;	004F 	
0052 0323 0304;	0052 	
0053 0301 0307;	0053 	
0053 030C 0307;	0053 	
0053 0323 0307;	0053 	
0055 0303 0301;	0055 	
0055 0304 0308;	0055 	
0055 0308 0300;	0055 	
0055 0308 0301;	0055 	
0055 0308 0304;	0055 	
0055 0308 030C;	0055 	
0055 031B 0300;	0055 	
0055 031B 0301;	0055 	
0055 031B 0303;	0055 	
0055 031B 0309;	0055 	
0055 031B 0323;	0055 	
0061 0302 0300;	0061 	
0061 0302 0301;	0061 	
0061 0302 0303;	0061 	
0061 0302 0309;	0061 	
0061 0306 0300;	0061 	
0061 0306 0301;	0061 	
0061 0306 0303;	0061 	
0061 0306 0309;	0061 	
0061 0307 0304;	0061 	
0061 0308 0304;	0061 	
0061 030A 0301;	0061 	
0061 0323 0302;	0061 	
0061 0323 0306;	0061 	
0063 0327 0301;	0063 	
0065 0302 0300;	0065 	
0065 0302 0301;	0065 	
0065 0302 0303;	0065 	
0065 0302 0309;	0065 	
0065 0304 0300;	0065 	
0065 0304 0301;	0065 	
0065 0323 0302;	0065 	
0065 0327 0306;	0065 	
0069 0308 0301;	0069 	
006C 0323 0304;	006C 	
006F 0302 0300;	006F 	
006F 0302 0301;	006F 	
006F 0302 0303;	006F 	
006F 0302 0309;	006F 	
006F 0303 0301;	006F 	
006F 0303 0304;	006F 	
006F 0303 0308;	006F 	
006F 0304 0300;	006F 	
006F 0304 0301;	006F 	
006F 0307 0304;	006F 	
006F 0308 0304;	006F 	
006F 031B 0300;	006F 	
006F 031B 0301;	006F 	
006F 031B 0303;	006F 	
006F 031B 0309;	006F 	
006F 031B 0323;	006F 	
006F 0323 0302;	006F 	
006F 0328 0304;	006F 	
0072 0323 0304;	0072 	
0073 0301 0307;	0073 	
0073 030C 0307;	0073 	
0073 0323 0307;	0073 	
0075 0303 0301;	0075 	
0075 0304 0308;	0075 	
0075 0308 0300;	0075 	
0075 0308 0301;	0075 	
0075 0308 0304;	0075 	
0075 0308 030C;	0075 	
0075 031B 0300;	0075 	
0075 031B 0301;	0075 	
0075 031B 0303;	0075 	
0075 031B 0309;	0075 	
0075 031B 0323;	0075 	
0391 0313 0300;	0391 	
0391 0313 0301;	0391 	
0391 0313 0342;	0391 	
0391 0314 0300;	0391 	
0391 0314 0301;	0391 	
0391 0314 0342;	0391 	
0395 0313 0300;	0395 	
0395 0313 0301;	0395 	
0395 0314 0300;	0395 	
0395 0314 0301;	0395 	
0397 0313 0300;	0397 	
0397 0313 0301;	0397 	
0397 0313 0342;	0397 	
0397 0314 0300;	0397 	
0397 0314 0301;	0397 	
0397 0314 0342;	0397 	
0399 0313 0300;	0399 	
0399 0313 0301;	0399 	
0399 0313 0342;	0399 	
0399 0314 0300;	0399 	
0399 0314 0301;	0399 	
0399 0314 0342;	0399 	
039F 0313 0300;	039F 	
039F 0313 0301;	039F 	
039F 0314 0300;	039F 	
039F 0314 0301;	039F 	
03A5 0314 0300;	03A5 	
03A5 0314 0301;	03A5 	
03A5 0314 0342;	03A5 	
03A9 0313 0300;	03A9 	
03A9 0313 0301;	03A9 	
03A9 0313 0342;	03A9 	
03A9 0314 0300;	03A9 	
